feature,coefficient
cat__PostalCode_93108,5.3233345e+06
cat__PostalCode_90210,4.587085e+06
cat__PostalCode_92657,3.5388458e+06
cat__PostalCode_90265,3.522194e+06
cat__PostalCode_90077,3.3123162e+06
cat__PostalCode_90402,3.2058768e+06
cat__PostalCode_90024,3.178755e+06
cat__HighSchoolDistrict_Newport Mesa Unified,3.1285142e+06
cat__PostalCode_90272,2.9985058e+06
num__missingindicator_BathroomsTotalInteger,2.698046e+06
cat__PostalCode_92014,2.6356065e+06
cat__PostalCode_94022,2.5999378e+06
cat__PostalCode_92626,-2.582138e+06
cat__PostalCode_90049,2.5768248e+06
cat__PostalCode_90266,2.4934995e+06
cat__PostalCode_93924,-2.4387332e+06
cat__PostalCode_92627,-2.4239652e+06
cat__HighSchoolDistrict_Laguna Beach Unified,2.3347358e+06
cat__PostalCode_94024,2.290849e+06
cat__PostalCode_92629,2.1930938e+06
cat__PostalCode_92118,2.177673e+06
num__missingindicator_BedroomsTotal,-2.1126958e+06
num__missingindicator_LivingArea,2.0722465e+06
cat__PostalCode_92037,2.0452301e+06
cat__HighSchoolDistrict_Carmel Unified,1.8031469e+06
