model,price_band,rows,mean_close_price,test_r2,mae,mape,mdape
Linear Regression (baseline),"(11899.999, 580000.0]",2422,432672.1784062758,-9.869871116747,249045.54436932286,0.8201974165077942,0.4626153568564555
Linear Regression (baseline),"(580000.0, 807500.0]",2389,695568.1305985769,-24.954079654754015,247458.04800648807,0.3594196474375501,0.2814040562913907
Linear Regression (baseline),"(807500.0, 1125000.0]",2433,945194.3117961364,-15.390399879718238,254933.40527640775,0.27111809429497047,0.19664353448275862
Linear Regression (baseline),"(1125000.0, 1690000.0]",2383,1375446.50944188,-7.299210447007827,300232.93201846414,0.2201368534805004,0.16226954756484485
Linear Regression (baseline),"(1690000.0, 97972500.0]",2397,3113019.211097205,0.27706981973158373,769291.6013767209,0.21344935043561147,0.15849158415841585
"Decision Tree (depth 24, leaf 10)","(11899.999, 580000.0]",2422,432672.1784062758,-1.4728346829942742,74178.64160417819,0.31634672983262263,0.09465614899331751
"Decision Tree (depth 24, leaf 10)","(580000.0, 807500.0]",2389,695568.1305985769,-3.956477269938973,85239.18229597378,0.12266075071180005,0.07418181818181815
"Decision Tree (depth 24, leaf 10)","(807500.0, 1125000.0]",2433,945194.3117961364,-5.3781407737019205,138189.74303691657,0.1452473649354948,0.0909904068002429
"Decision Tree (depth 24, leaf 10)","(1125000.0, 1690000.0]",2383,1375446.50944188,-5.461123349926617,242998.86197651658,0.17634151715907606,0.11924202708606381
"Decision Tree (depth 24, leaf 10)","(1690000.0, 97972500.0]",2397,3113019.211097205,0.19748997747800034,840262.6910883142,0.22774932993249133,0.17932722007722016
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)","(11899.999, 580000.0]",2422,432672.1784062758,-0.9182129716084777,69799.59547347279,0.3477771475418196,0.07964757334623918
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)","(580000.0, 807500.0]",2389,695568.1305985769,-3.696761285865973,80099.94279830478,0.11534155958720264,0.06738103573549492
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)","(807500.0, 1125000.0]",2433,945194.3117961364,-3.4189544314634803,116058.88682958818,0.1223330644194233,0.07676602298797656
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)","(1125000.0, 1690000.0]",2383,1375446.50944188,-2.7096447510265183,193522.47857467816,0.14061340598472344,0.10333666809521092
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)","(1690000.0, 97972500.0]",2397,3113019.211097205,0.2975179342392372,707067.3581974859,0.1846323094673876,0.1449830983119709
