fold,family,model,train_rows,validation_rows,encoded_feature_count,validation_r2,validation_mae,validation_rmse,validation_mape,validation_mdape,fit_seconds,params
1,Linear Regression,Linear Regression (baseline),23450,23540,367,0.47270438515708235,443159.6209449841,1135035.4074657722,0.412161189697364,0.2761585413901223,2.349807024002075,"{""n_jobs"": -1}"
1,Decision Tree,"Decision Tree (depth 18, leaf 10)",23450,23540,367,0.5520637431341673,329157.9989659793,1046141.5176162599,0.23537340254376207,0.13817546791443852,0.9216039180755615,"{""max_depth"": 18, ""min_samples_leaf"": 10, ""random_state"": 55}"
1,Decision Tree,"Decision Tree (depth 24, leaf 10)",23450,23540,367,0.5506011438431295,329638.5552252488,1047848.0538100998,0.235047865059318,0.13728819101626122,0.9271528720855713,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
1,Random Forest,"Random Forest (40 trees, depth 24, leaf 10, max_features 0.4)",23450,23540,367,0.5916190770803529,293946.40774350625,998883.9912486746,0.22539201545257295,0.13752341045143543,2.297241687774658,"{""max_depth"": 24, ""max_features"": 0.4, ""min_samples_leaf"": 10, ""n_estimators"": 40, ""n_jobs"": -1, ""random_state"": 55}"
1,Random Forest,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",23450,23540,367,0.5974372942285082,280206.0573605989,991742.897749371,0.2066916044005325,0.12461915105276189,5.769923686981201,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
2,Linear Regression,Linear Regression (baseline),46990,23458,729,0.6020126973678942,377367.66681555146,874732.8257536687,0.3444625274314529,0.23906142394084742,5.626758098602295,"{""n_jobs"": -1}"
2,Decision Tree,"Decision Tree (depth 18, leaf 10)",46990,23458,729,0.6072270307523442,282152.8842520081,868983.663670674,0.19891093273353663,0.12037584382844638,2.519932985305786,"{""max_depth"": 18, ""min_samples_leaf"": 10, ""random_state"": 55}"
2,Decision Tree,"Decision Tree (depth 24, leaf 10)",46990,23458,729,0.6082367735228793,279912.7388314203,867865.9510158715,0.1958813570018894,0.11775787847227992,2.778463125228882,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
2,Random Forest,"Random Forest (40 trees, depth 24, leaf 10, max_features 0.4)",46990,23458,729,0.6665726556899908,264785.2492305069,800647.6307092365,0.20162184224672408,0.11966037760325039,7.153118133544922,"{""max_depth"": 24, ""max_features"": 0.4, ""min_samples_leaf"": 10, ""n_estimators"": 40, ""n_jobs"": -1, ""random_state"": 55}"
2,Random Forest,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",46990,23458,729,0.6835166804702086,244528.1732053125,780038.8416717364,0.17929054564476363,0.10582549803923011,16.892587900161743,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
3,Linear Regression,Linear Regression (baseline),70448,20164,942,0.6963515965032756,336771.48898811155,744331.3372223557,0.31118686351801567,0.20309666516766486,9.309098958969116,"{""n_jobs"": -1}"
3,Decision Tree,"Decision Tree (depth 18, leaf 10)",70448,20164,942,0.6916229187068313,262927.38056447054,750104.6357571115,0.18690986204415133,0.11388943122400305,4.91094183921814,"{""max_depth"": 18, ""min_samples_leaf"": 10, ""random_state"": 55}"
3,Decision Tree,"Decision Tree (depth 24, leaf 10)",70448,20164,942,0.691922115950874,261049.90515186504,749740.659773001,0.18371047221390457,0.11075525925646253,5.139075994491577,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
3,Random Forest,"Random Forest (40 trees, depth 24, leaf 10, max_features 0.4)",70448,20164,942,0.7286224319461305,250169.6208492363,703667.9582977277,0.18905617974814326,0.11321412489706136,16.07181429862976,"{""max_depth"": 24, ""max_features"": 0.4, ""min_samples_leaf"": 10, ""n_estimators"": 40, ""n_jobs"": -1, ""random_state"": 55}"
3,Random Forest,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",70448,20164,942,0.7507363144986992,227575.66380449213,674388.7372478227,0.16490497894419895,0.09783828457750401,38.15399885177612,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
4,Linear Regression,Linear Regression (baseline),90612,16015,1061,0.708319610398376,325653.1988000907,741773.1176943778,0.29432140907164794,0.19697361400481292,11.315685987472534,"{""n_jobs"": -1}"
4,Decision Tree,"Decision Tree (depth 18, leaf 10)",90612,16015,1061,0.6276679888435173,267207.023467,838074.5693726097,0.1856168763616403,0.11322115384615385,7.8619489669799805,"{""max_depth"": 18, ""min_samples_leaf"": 10, ""random_state"": 55}"
4,Decision Tree,"Decision Tree (depth 24, leaf 10)",90612,16015,1061,0.6246123231450029,266092.32471355353,841506.5103818597,0.18353364904076178,0.11093819370477331,8.565170288085938,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
4,Random Forest,"Random Forest (40 trees, depth 24, leaf 10, max_features 0.4)",90612,16015,1061,0.7425217653410203,242688.46097360147,696927.7154339598,0.1780931373830484,0.10468597495550856,30.039829969406128,"{""max_depth"": 24, ""max_features"": 0.4, ""min_samples_leaf"": 10, ""n_estimators"": 40, ""n_jobs"": -1, ""random_state"": 55}"
4,Random Forest,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",90612,16015,1061,0.7571024428965079,228043.74986529516,676907.0666322714,0.1622789899418255,0.0956609001152256,69.71160292625427,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
5,Linear Regression,Linear Regression (baseline),106627,23186,1120,0.7004408646835287,326607.6541268127,839715.9418149481,0.2754145480120487,0.1840660043005542,18.88237977027893,"{""n_jobs"": -1}"
5,Decision Tree,"Decision Tree (depth 18, leaf 10)",106627,23186,1120,0.6409279121506737,288526.22191571235,919352.2378642455,0.1851253926585447,0.11599134290137017,8.778111934661865,"{""max_depth"": 18, ""min_samples_leaf"": 10, ""random_state"": 55}"
5,Decision Tree,"Decision Tree (depth 24, leaf 10)",106627,23186,1120,0.6420803060572833,283701.5267798034,917875.7831839968,0.18028180957431272,0.1110623052976985,11.706542730331421,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
5,Random Forest,"Random Forest (40 trees, depth 24, leaf 10, max_features 0.4)",106627,23186,1120,0.7340874763137728,246811.59644346722,791153.0560048026,0.16873883542753773,0.1014673319250888,49.866146087646484,"{""max_depth"": 24, ""max_features"": 0.4, ""min_samples_leaf"": 10, ""n_estimators"": 40, ""n_jobs"": -1, ""random_state"": 55}"
5,Random Forest,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",106627,23186,1120,0.740120313261431,231816.1676671445,782127.0051298622,0.1531360427597969,0.09180686757548742,643.6972842216492,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
