model,rank,feature,importance_type,value
Linear Regression (baseline),1,cat__DistrictName_Newport-Mesa Unified,coefficient,4696913.181790692
Linear Regression (baseline),2,cat__PostalCode_93108,coefficient,4428534.234509088
Linear Regression (baseline),3,cat__DistrictName_Beverly Hills Unified,coefficient,3961473.640882572
Linear Regression (baseline),4,cat__PostalCode_92626,coefficient,-3736410.0047811805
Linear Regression (baseline),5,cat__DistrictName_Laguna Beach Unified,coefficient,3700087.2050491264
Linear Regression (baseline),6,cat__PostalCode_90024,coefficient,3566849.8753279555
Linear Regression (baseline),7,cat__PostalCode_92627,coefficient,-3551222.8787411246
Linear Regression (baseline),8,cat__PostalCode_90077,coefficient,3373398.7186569935
Linear Regression (baseline),9,cat__PostalCode_90272,coefficient,3141320.1553628617
Linear Regression (baseline),10,cat__PostalCode_90210,coefficient,2993162.282290663
Linear Regression (baseline),11,cat__PostalCode_92014,coefficient,2942712.729963934
Linear Regression (baseline),12,cat__PostalCode_90049,coefficient,2788816.597795177
Linear Regression (baseline),13,cat__DistrictName_Manhattan Beach Unified,coefficient,2509917.2272666204
Linear Regression (baseline),14,cat__PostalCode_94022,coefficient,2492501.656323512
Linear Regression (baseline),15,cat__PostalCode_90402,coefficient,2418225.2738395897
Linear Regression (baseline),16,cat__PostalCode_90265,coefficient,2376001.89468294
Linear Regression (baseline),17,cat__PostalCode_94024,coefficient,2312283.179046308
Linear Regression (baseline),18,cat__PostalCode_92037,coefficient,2173785.399462602
Linear Regression (baseline),19,cat__PostalCode_93924,coefficient,-2170297.016946354
Linear Regression (baseline),20,cat__PostalCode_92657,coefficient,2109079.9077097233
Linear Regression (baseline),21,cat__PostalCode_90069,coefficient,1994619.2184134154
Linear Regression (baseline),22,cat__PostalCode_92075,coefficient,1954929.8657320642
Linear Regression (baseline),23,cat__PostalCode_90254,coefficient,1945644.1370326614
Linear Regression (baseline),24,cat__HighSchoolDistrict_Carmel Unified,coefficient,1841167.0703480325
Linear Regression (baseline),25,cat__DistrictName_Palo Alto Unified,coefficient,1798890.7660032709
"Decision Tree (depth 24, leaf 10)",1,num__LivingArea,feature_importance,0.33345390095042093
"Decision Tree (depth 24, leaf 10)",2,num__LogLivingArea,feature_importance,0.13857604968062326
"Decision Tree (depth 24, leaf 10)",3,num__BathroomsTotalInteger,feature_importance,0.10640178034952631
