fold,validation_month,family,model,train_rows,validation_rows,encoded_feature_count,validation_r2,validation_mae,validation_rmse,validation_mape,validation_mdape,fit_seconds,params
1,2026-03,XGBoost,"XGBoost (depth 6, lr 0.05, 300 trees)",94867,11166,1078,0.8047139252685036,263163.8729256504,655023.0951920222,0.21313589390907156,0.14662855288336957,1.1210720539093018,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300}"
1,2026-03,XGBoost,"XGBoost (depth 8, lr 0.05, 500 trees)",94867,11166,1078,0.8285717698184383,221634.11486616737,613708.5101191486,0.16785408798260704,0.1148885493365358,2.378938913345337,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
1,2026-03,XGBoost,"XGBoost (depth 6, lr 0.03, 700 trees)",94867,11166,1078,0.816179757241806,249679.53890104446,635503.0547271885,0.19944019782687245,0.1388045255183413,2.241621971130371,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 700}"
1,2026-03,LightGBM,"LightGBM (depth 6, lr 0.05, 300 trees)",94867,11166,1078,0.7921110540684266,275076.1093022003,675828.7663983483,0.22630813680360165,0.1549757646519888,1.4157299995422363,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""num_leaves"": 31}"
1,2026-03,LightGBM,"LightGBM (depth 10, lr 0.05, 500 trees)",94867,11166,1078,0.8239287605978938,229403.6355816067,621963.9105196077,0.176598184433964,0.12113815049551635,3.3312759399414062,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 63}"
1,2026-03,LightGBM,"LightGBM (depth 10, lr 0.03, 700 trees)",94867,11166,1078,0.8201532718212408,232409.65046185182,628596.9153415558,0.17990421908323675,0.12200845132129784,4.811330080032349,"{""learning_rate"": 0.03, ""max_depth"": 10, ""n_estimators"": 700, ""num_leaves"": 63}"
2,2026-04,XGBoost,"XGBoost (depth 6, lr 0.05, 300 trees)",106033,12020,1124,0.7462383282703766,283478.40084323,796262.8210681122,0.21954972484680785,0.152069744170449,1.1093530654907227,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300}"
2,2026-04,XGBoost,"XGBoost (depth 8, lr 0.05, 500 trees)",106033,12020,1124,0.765365598127206,241077.65831125207,765665.835479203,0.17530573435116398,0.11879721401435205,2.347024917602539,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
2,2026-04,XGBoost,"XGBoost (depth 6, lr 0.03, 700 trees)",106033,12020,1124,0.7639963278538537,270146.98877675226,767896.7068866892,0.2060483678155704,0.14259372002970067,2.3555970191955566,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 700}"
2,2026-04,LightGBM,"LightGBM (depth 6, lr 0.05, 300 trees)",106033,12020,1124,0.7221022163990254,291596.0933470894,833270.4222452521,0.22494163872302722,0.15522554380841228,1.4474670886993408,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""num_leaves"": 31}"
2,2026-04,LightGBM,"LightGBM (depth 10, lr 0.05, 500 trees)",106033,12020,1124,0.7602888093140373,247872.5019120529,773904.8697384071,0.18070175276732112,0.1229485945470993,3.3764638900756836,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 63}"
2,2026-04,LightGBM,"LightGBM (depth 10, lr 0.03, 700 trees)",106033,12020,1124,0.7609308473066605,250266.81113731902,772867.7686335151,0.18361628446478426,0.1241919021358196,4.764661073684692,"{""learning_rate"": 0.03, ""max_depth"": 10, ""n_estimators"": 700, ""num_leaves"": 63}"
3,2026-05,XGBoost,"XGBoost (depth 6, lr 0.05, 300 trees)",118053,12007,1156,0.7967229261006474,269673.16953391774,613638.7165272079,0.21764834115192228,0.15130653846153846,1.2057180404663086,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300}"
3,2026-05,XGBoost,"XGBoost (depth 8, lr 0.05, 500 trees)",118053,12007,1156,0.8139780251307255,229049.87124112496,587016.9991398517,0.17295986571880645,0.12083541666666667,2.45898175239563,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
3,2026-05,XGBoost,"XGBoost (depth 6, lr 0.03, 700 trees)",118053,12007,1156,0.8060476633058917,254740.8325423451,599399.0644265153,0.2023833849757489,0.14060660377358492,2.524489164352417,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 700}"
3,2026-05,LightGBM,"LightGBM (depth 6, lr 0.05, 300 trees)",118053,12007,1156,0.7946035752654385,276743.8678467127,616829.2964809019,0.2266563857157905,0.15645234567395483,1.628666877746582,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""num_leaves"": 31}"
3,2026-05,LightGBM,"LightGBM (depth 10, lr 0.05, 500 trees)",118053,12007,1156,0.8156227219755046,234350.80687727372,584416.2082609945,0.1816150013998494,0.12451460922193983,3.5565690994262695,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 63}"
3,2026-05,LightGBM,"LightGBM (depth 10, lr 0.03, 700 trees)",118053,12007,1156,0.8134264963875859,235352.0983397546,587886.5661086271,0.1827421807979134,0.12298397815691951,4.999317169189453,"{""learning_rate"": 0.03, ""max_depth"": 10, ""n_estimators"": 700, ""num_leaves"": 63}"
