model,rank,feature,importance
"XGBoost (depth 8, lr 0.05, 500 trees)",1,num__missingindicator_BedBathRatio,0.04870762676000595
"XGBoost (depth 8, lr 0.05, 500 trees)",2,num__missingindicator_BathroomsTotalInteger,0.028115151450037956
"XGBoost (depth 8, lr 0.05, 500 trees)",3,cat__DistrictName_Newport-Mesa Unified,0.02769032120704651
"XGBoost (depth 8, lr 0.05, 500 trees)",4,cat__HighSchoolDistrict_Newport Mesa Unified,0.02351025491952896
"XGBoost (depth 8, lr 0.05, 500 trees)",5,cat__PoolPrivateYN_Unknown,0.02239108271896839
"XGBoost (depth 8, lr 0.05, 500 trees)",6,num__LogLivingArea,0.01957319676876068
"XGBoost (depth 8, lr 0.05, 500 trees)",7,num__BathroomsTotalInteger_missing_ind,0.01949501968920231
"XGBoost (depth 8, lr 0.05, 500 trees)",8,num__AssociationFee_missing_ind,0.018984954804182053
"XGBoost (depth 8, lr 0.05, 500 trees)",9,num__missingindicator_GarageSpaces,0.016251450404524803
"XGBoost (depth 8, lr 0.05, 500 trees)",10,num__LivingArea_missing_ind,0.014302610419690609
"XGBoost (depth 8, lr 0.05, 500 trees)",11,cat__DistrictName_Beverly Hills Unified,0.014272967353463173
"XGBoost (depth 8, lr 0.05, 500 trees)",12,cat__DistrictName_Santa Monica-Malibu Unified,0.013446394354104996
"XGBoost (depth 8, lr 0.05, 500 trees)",13,cat__HighSchoolDistrict_Laguna Beach Unified,0.01295556128025055
"XGBoost (depth 8, lr 0.05, 500 trees)",14,num__GarageSpaces_missing_ind,0.011754263192415237
"XGBoost (depth 8, lr 0.05, 500 trees)",15,num__LivingArea,0.011746044270694256
"XGBoost (depth 8, lr 0.05, 500 trees)",16,cat__PostalCode_92657,0.01110218744724989
"XGBoost (depth 8, lr 0.05, 500 trees)",17,cat__HighSchoolDistrict_William S. Hart Union,0.011088719591498375
"XGBoost (depth 8, lr 0.05, 500 trees)",18,num__BathroomsTotalInteger,0.010928426869213581
"XGBoost (depth 8, lr 0.05, 500 trees)",19,cat__HighSchoolDistrict_Manhattan Unified,0.008799410425126553
"XGBoost (depth 8, lr 0.05, 500 trees)",20,cat__PostalCode_91436,0.008645479567348957
"XGBoost (depth 8, lr 0.05, 500 trees)",21,cat__PostalCode_92629,0.008329043164849281
"XGBoost (depth 8, lr 0.05, 500 trees)",22,num__PoolPrivateYN_missing_ind,0.008014792576432228
"XGBoost (depth 8, lr 0.05, 500 trees)",23,cat__PostalCode_93108,0.007988322526216507
"XGBoost (depth 8, lr 0.05, 500 trees)",24,cat__HighSchoolDistrict_Duarte Unified,0.007970938459038734
"XGBoost (depth 8, lr 0.05, 500 trees)",25,cat__PostalCode_90210,0.007710376754403114
"LightGBM (depth 10, lr 0.05, 500 trees)",1,num__Latitude,1769.0
"LightGBM (depth 10, lr 0.05, 500 trees)",2,num__Longitude,1591.0
"LightGBM (depth 10, lr 0.05, 500 trees)",3,num__LivingArea,1270.0
"LightGBM (depth 10, lr 0.05, 500 trees)",4,num__LotSizeSquareFeet,1111.0
"LightGBM (depth 10, lr 0.05, 500 trees)",5,num__BathroomsTotalInteger,738.0
"LightGBM (depth 10, lr 0.05, 500 trees)",6,num__YearBuilt,691.0
"LightGBM (depth 10, lr 0.05, 500 trees)",7,num__LogLivingArea,605.0
"LightGBM (depth 10, lr 0.05, 500 trees)",8,num__PropertyAgeAtSale,535.0
"LightGBM (depth 10, lr 0.05, 500 trees)",9,num__BedBathRatio,533.0
"LightGBM (depth 10, lr 0.05, 500 trees)",10,num__BedroomsTotal,506.0
"LightGBM (depth 10, lr 0.05, 500 trees)",11,num__AssociationFee,472.0
"LightGBM (depth 10, lr 0.05, 500 trees)",12,num__LogLotSizeSquareFeet,441.0
"LightGBM (depth 10, lr 0.05, 500 trees)",13,num__BathroomsTotalInteger_missing_ind,293.0
