model,price_band,rows,mean_close_price,r2_within_band,mae,mape,mdape
"XGBoost (depth 8, lr 0.05, 500 trees)","(579.999, 575000.0]",2616,432194.9344227829,-1.3135341177163955,101245.12312273032,0.6497173517299899,0.1506111418098866
"XGBoost (depth 8, lr 0.05, 500 trees)","(575000.0, 800000.0]",2546,693248.379025923,-4.294624498620667,99671.26585820895,0.14520181268791496,0.10100200803584655
"XGBoost (depth 8, lr 0.05, 500 trees)","(800000.0, 1100000.0]",2561,935328.3943771964,-10.218439197240775,132734.72625439282,0.14141492485296595,0.09882582269155206
"XGBoost (depth 8, lr 0.05, 500 trees)","(1100000.0, 1665000.0]",2563,1357183.272337105,-1.751662949024405,190314.66479711275,0.1397540555335889,0.10840525
"XGBoost (depth 8, lr 0.05, 500 trees)","(1665000.0, 46950000.0]",2571,3120120.4027615716,0.7178467763187533,638387.2562718786,0.17507026021687155,0.1392748959778086
"LightGBM (depth 10, lr 0.05, 500 trees)","(579.999, 575000.0]",2616,432194.9344227829,-1.7537848704061805,105817.06550892498,0.6890446199594711,0.14980421528262194
"LightGBM (depth 10, lr 0.05, 500 trees)","(575000.0, 800000.0]",2546,693248.379025923,-4.888375496764256,103830.53578388398,0.15135197685205887,0.10484337433266366
"LightGBM (depth 10, lr 0.05, 500 trees)","(800000.0, 1100000.0]",2561,935328.3943771964,-7.504629257495376,137972.22031748312,0.1472426219500904,0.10342765399849173
"LightGBM (depth 10, lr 0.05, 500 trees)","(1100000.0, 1665000.0]",2563,1357183.272337105,-2.0497227800969346,199256.46600505966,0.14650377446657195,0.11186709655371324
"LightGBM (depth 10, lr 0.05, 500 trees)","(1665000.0, 46950000.0]",2571,3120120.4027615716,0.6940821702967044,665848.1395555518,0.18452869084376697,0.14597933438298394
Week 6 Random Forest reference,"(579.999, 575000.0]",2616,432194.9344227829,-0.47734685396249343,70872.2758790649,0.6085929651583741,0.08426160221065546
Week 6 Random Forest reference,"(575000.0, 800000.0]",2546,693248.379025923,-3.8425539247475076,76179.41148413865,0.11072300576114263,0.06242932608961556
Week 6 Random Forest reference,"(800000.0, 1100000.0]",2561,935328.3943771964,-8.593165860625025,122434.99842001735,0.1294741441238428,0.081998592652654
Week 6 Random Forest reference,"(1100000.0, 1665000.0]",2563,1357183.272337105,-2.709098643525881,191275.05038127908,0.1405116491134076,0.09736714706074488
Week 6 Random Forest reference,"(1665000.0, 46950000.0]",2571,3120120.4027615716,0.6144375427715292,703220.7910825801,0.18660580938439086,0.14104917546812784
