week,model,test_month,test_r2,test_mae,test_rmse,test_mape,test_mdape,comparison_basis
Week 4,Linear Regression,2026-05,0.4714146296486545,363777.911317989,1220014.768625348,0.3776635245149735,0.2240902388211382,historical holdout; context only
Week 5,Linear Regression (baseline),2026-05,0.4714146296486545,363777.911317989,1220014.768625348,0.3776635245149735,0.2240902388211382,historical holdout; context only
Week 5,"Decision Tree (depth 24, leaf 10)",2026-05,0.4398388128543236,275506.3772378532,1255925.9252167256,0.1978336769154542,0.1063952358877691,historical holdout; context only
Week 5,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",2026-05,0.5138561661189958,232766.89781113784,1170010.9042275865,0.1823976193602374,0.0897025909065161,historical holdout; context only
Week 6,Linear Regression (baseline),2026-05,0.4944991259183694,322806.30886067625,1193077.0010942426,0.3033961809217866,0.177448756549957,historical holdout; context only
Week 6,"Decision Tree (depth 24, leaf 10)",2026-05,0.472888122735799,276724.0230074729,1218313.1155049049,0.1964956887311169,0.1072082149562617,historical holdout; context only
Week 6,"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",2026-05,0.5216088325065413,234157.45827782725,1160644.1715097865,0.1794389328568825,0.0897093392904614,historical holdout; context only
Week 7,Week 6 Random Forest reference,2026-06,0.7485915097282256,232645.97451135155,770384.5361940052,0.2368715987577405,0.09143481555437576,June 2026 shifted holdout
Week 7,"XGBoost (depth 8, lr 0.05, 500 trees)",2026-06,0.8115962234870491,232373.3406433509,666902.566232775,0.2519875019932874,0.11770603813559322,June 2026 shifted holdout
Week 7,"LightGBM (depth 10, lr 0.05, 500 trees)",2026-06,0.7975238558489096,242444.32860531087,691360.4275087683,0.26560501297430567,0.12232562381236514,June 2026 shifted holdout
