model,family,band_order,price_band,lower_bound,upper_bound,test_rows,mean_close_price,median_close_price,r2_within_band,mae,mape,mdape,mse,rmse,mdape_rank_within_model,mape_rank_within_model,rmse_rank_within_model
Linear Regression,Linear Regression,1,Up to $575k,580.0,575000.0,2616,432194.9344227829,449000.0,-4.327005040228999,159645.62685001752,0.7709234617774612,0.276513845262535,58032532011.0969,240899.42301943543,5,5,1
Linear Regression,Linear Regression,2,$575k-$800k,575000.0,800000.0,2546,693248.379025923,699000.0,-21.941077199761114,185446.36472448148,0.2702105536899879,0.19573447042474001,99218514178.81761,314989.70487750485,4,4,2
Linear Regression,Linear Regression,3,$800k-$1.1M,800000.0,1100000.0,2561,935328.3943771964,925000.0,-13.816333815209461,204801.1539246122,0.2185433455859982,0.15470846500797278,106695828087.75948,326643.2734463691,2,2,3
Linear Regression,Linear Regression,4,$1.1M-$1.67M,1100000.0,1665000.0,2563,1357183.272337105,1340000.0,-5.750619165095993,267199.0185333068,0.19731703796483774,0.1377846971405489,172421589224.37222,415236.78693532466,1,1,4
Linear Regression,Linear Regression,5,$1.67M+,1665000.0,46950000.0,2571,3120120.4027615716,2398000.0,0.5649517921387938,787010.7851530544,0.2249555360094883,0.1664438939490027,3122758687282.3413,1767132.9002885837,3,3,5
"Decision Tree (depth 24, leaf 10)",Decision Tree,1,Up to $575k,580.0,575000.0,2616,432194.9344227829,449000.0,-0.5163257540072244,71877.79704288948,0.6245023499326726,0.0951317525956557,16518892359.616032,128525.84315854937,3,5,1
"Decision Tree (depth 24, leaf 10)",Decision Tree,2,$575k-$800k,575000.0,800000.0,2546,693248.379025923,699000.0,-5.28315700671662,89203.14583230566,0.12895409185540185,0.07896354210330586,27174203596.90615,164845.9996387724,1,1,2
"Decision Tree (depth 24, leaf 10)",Decision Tree,3,$800k-$1.1M,800000.0,1100000.0,2561,935328.3943771964,925000.0,-14.209023513649303,142801.46821490972,0.1516707822069896,0.09495996231747528,109523676938.8404,330943.6159511774,2,2,3
"Decision Tree (depth 24, leaf 10)",Decision Tree,4,$1.1M-$1.67M,1100000.0,1665000.0,2563,1357183.272337105,1340000.0,-4.6503493409556445,233986.03498527987,0.17229192614320946,0.1186998954339491,144318941598.38934,379893.32923649676,4,3,4
"Decision Tree (depth 24, leaf 10)",Decision Tree,5,$1.67M+,1665000.0,46950000.0,2571,3120120.4027615716,2398000.0,0.5834766561016208,816215.2416737506,0.22930985686691327,0.1663603603603604,2989787952487.1367,1729100.330370432,5,4,5
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,1,Up to $575k,580.0,575000.0,2616,432194.9344227829,449000.0,-0.47734685396249366,70872.27587906491,0.6085929651583741,0.08426160221065543,16094255204.681795,126863.13571988435,3,5,1
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,2,$575k-$800k,575000.0,800000.0,2546,693248.379025923,699000.0,-3.8425539247475085,76179.41148413865,0.11072300576114263,0.06242932608961556,20943698548.264015,144719.37862036313,1,1,2
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,3,$800k-$1.1M,800000.0,1100000.0,2561,935328.3943771964,925000.0,-8.593165860625025,122434.99842001735,0.1294741441238428,0.08199859265265387,69082594132.1531,262835.6789557938,2,2,3
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,4,$1.1M-$1.67M,1100000.0,1665000.0,2563,1357183.272337105,1340000.0,-2.709098643525881,191275.05038127908,0.1405116491134076,0.09736714706074454,94736300043.90887,307792.62506419624,4,3,4
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,5,$1.67M+,1665000.0,46950000.0,2571,3120120.4027615716,2398000.0,0.6144375427715292,703220.7910825802,0.18660580938439086,0.14104917546812776,2767551942621.156,1663596.0875829072,5,4,5
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,1,Up to $575k,580.0,575000.0,2616,432194.9344227829,449000.0,-1.3135341177163955,101245.12312273032,0.6497173517299899,0.1506111418098866,25203701091.18011,158756.73557736096,5,5,2
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,2,$575k-$800k,575000.0,800000.0,2546,693248.379025923,699000.0,-4.294624498620667,99671.26585820895,0.14520181268791496,0.10100200803584655,22898871370.05842,151323.730359975,2,3,1
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,3,$800k-$1.1M,800000.0,1100000.0,2561,935328.3943771964,925000.0,-10.218439197240775,132734.72625439282,0.14141492485296595,0.09882582269155206,80786561299.8719,284229.7684970241,1,2,4
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,4,$1.1M-$1.67M,1100000.0,1665000.0,2563,1357183.272337105,1340000.0,-1.751662949024405,190314.66479711275,0.1397540555335889,0.10840525,70281864089.4052,265107.2690240786,3,1,3
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,5,$1.67M+,1665000.0,46950000.0,2571,3120120.4027615716,2398000.0,0.7178467763187533,638387.2562718786,0.17507026021687155,0.1392748959778086,2025284587947.1536,1423124.937574756,4,4,5
"LightGBM (depth 10, lr 0.05, 500 trees)",LightGBM,1,Up to $575k,580.0,575000.0,2616,432194.9344227829,449000.0,-1.7537848704061805,105817.06550892498,0.6890446199594711,0.14980421528262194,29999804287.148018,173204.51578162741,5,5,2
